id,f_id,variety,sex,age
f0010981,f001098,狗,雄,9
f0010991,f001099,狗,雌,9
f0011001,f001100,狗,雄,1
f0011011,f001101,狗,雌,3
f0011021,f001102,狗,雄,7
f0011031,f001103,狗,雄,3
f0011041,f001104,狗,雌,2
f0011051,f001105,猫,雄,2
f0011061,f001106,狗,雄,2
f0011071,f001107,猫,雌,6
f0011081,f001108,狗,雌,8
f0011091,f001109,狗,雄,2
f0011101,f001110,猫,雌,4
f0011111,f001111,狗,雄,10
f0011121,f001112,猫,雄,6
f0011131,f001113,狗,雄,5
f0011141,f001114,狗,雌,6
f0011151,f001115,狗,雄,9
f0011161,f001116,狗,雌,10
f0011171,f001117,猫,雌,6
f0011181,f001118,狗,雌,10
f0011191,f001119,猫,雄,3
f0011201,f001120,狗,雌,2
f0011211,f001121,狗,雄,8
f0011221,f001122,狗,雄,2
f0011231,f001123,狗,雄,6
f0011241,f001124,狗,雄,3
f0011251,f001125,猫,雄,6
f0011261,f001126,狗,雌,4
f0011271,f001127,猫,雄,10
f0011281,f001128,猫,雄,1
f0011291,f001129,狗,雄,10
f0011301,f001130,狗,雄,8
f0011311,f001131,狗,雌,6
f0011321,f001132,狗,雄,6
f0011331,f001133,猫,雄,6
f0011341,f001134,狗,雄,2
f0011351,f001135,狗,雌,5
f0011361,f001136,狗,雌,1
f0011371,f001137,狗,雌,4
f0011381,f001138,狗,雄,2
f0011391,f001139,狗,雄,1
f0011401,f001140,狗,雄,3
f0011411,f001141,狗,雄,5
f0011421,f001142,狗,雌,8
f0011431,f001143,狗,雌,6
f0011441,f001144,狗,雌,2
f0011451,f001145,狗,雄,4
f0011461,f001146,猫,雄,7
f0011471,f001147,狗,雌,8
f0011481,f001148,狗,雄,7
f0011491,f001149,狗,雄,1
f0011501,f001150,狗,雄,10
f0011511,f001151,狗,雄,8
f0011521,f001152,狗,雄,5
f0011531,f001153,狗,雄,3
f0011541,f001154,狗,雌,8
f0011551,f001155,狗,雄,2
f0011561,f001156,狗,雄,7
f0011571,f001157,狗,雌,4
f0011581,f001158,狗,雄,3
f0011591,f001159,狗,雌,8
f0011601,f001160,狗,雄,3
f0011611,f001161,狗,雌,6
f0011621,f001162,狗,雄,1
f0011631,f001163,猫,雌,10
f0011641,f001164,狗,雄,9
f0011651,f001165,猫,雄,10
f0011661,f001166,狗,雄,7
f0011671,f001167,狗,雄,4
f0011681,f001168,狗,雄,8
f0011691,f001169,狗,雌,9
f0011701,f001170,狗,雌,2
f0011711,f001171,狗,雄,10
f0011721,f001172,狗,雄,1
f0011731,f001173,猫,雌,2
f0011741,f001174,狗,雄,3
f0011751,f001175,猫,雄,7
f0011761,f001176,猫,雄,6
f0011771,f001177,狗,雌,5
f0011781,f001178,狗,雄,9
f0011791,f001179,狗,雄,1
f0011801,f001180,狗,雄,1
f0011811,f001181,狗,雄,4
f0011821,f001182,狗,雌,6
f0011831,f001183,猫,雌,8
f0011841,f001184,猫,雌,9
f0011851,f001185,狗,雄,9
f0011861,f001186,猫,雌,3
f0011871,f001187,狗,雄,6
f0011881,f001188,狗,雄,7
f0011891,f001189,狗,雌,6
f0011901,f001190,狗,雌,4
f0011911,f001191,猫,雄,10
f0011921,f001192,猫,雄,9
f0011931,f001193,猫,雌,1
f0011941,f001194,猫,雌,10
f0011951,f001195,狗,雄,9
f0011961,f001196,狗,雄,4
f0011971,f001197,狗,雄,5
f0011981,f001198,狗,雌,6
f0011991,f001199,狗,雌,1
f0012001,f001200,狗,雌,8
f0012011,f001201,狗,雌,8
f0012021,f001202,狗,雌,1
f0012031,f001203,猫,雌,5
f0012041,f001204,狗,雌,9
f0012051,f001205,狗,雄,1
f0012061,f001206,狗,雌,3
f0012071,f001207,狗,雄,8
f0012081,f001208,猫,雌,4
f0012091,f001209,猫,雌,5
f0012101,f001210,猫,雄,9
f0012111,f001211,狗,雄,8
f0012121,f001212,狗,雄,2
f0012131,f001213,狗,雄,4
f0012141,f001214,狗,雄,6
f0012151,f001215,猫,雌,6
f0012161,f001216,猫,雌,8
f0012171,f001217,狗,雌,10
f0012181,f001218,狗,雄,9
f0012191,f001219,狗,雄,4
f0012201,f001220,狗,雌,7
f0012211,f001221,狗,雌,2
f0012221,f001222,狗,雄,3
f0012231,f001223,狗,雌,8
f0012241,f001224,狗,雄,4
f0012251,f001225,狗,雄,9
f0012261,f001226,猫,雄,4
f0012271,f001227,狗,雄,1
f0012281,f001228,狗,雄,10
f0012291,f001229,狗,雌,3
f0012301,f001230,狗,雌,6
f0012311,f001231,猫,雄,6
f0012321,f001232,猫,雌,3
f0012331,f001233,狗,雄,2
f0012341,f001234,狗,雌,8
f0012351,f001235,狗,雄,7
f0012361,f001236,狗,雄,1
f0012371,f001237,狗,雄,10
f0012381,f001238,猫,雌,4
f0012391,f001239,狗,雄,4
f0012401,f001240,狗,雄,2
f0012411,f001241,猫,雌,2
f0012421,f001242,狗,雌,4
f0012431,f001243,狗,雌,2
f0012441,f001244,狗,雄,1
f0012451,f001245,狗,雄,1
f0012461,f001246,狗,雌,3
f0012471,f001247,狗,雌,4
f0012481,f001248,狗,雌,9
f0012491,f001249,狗,雌,5
f0012501,f001250,狗,雌,9
f0012511,f001251,狗,雌,6
f0012521,f001252,狗,雄,9
f0012531,f001253,狗,雌,3
f0012541,f001254,狗,雄,8
f0012551,f001255,猫,雌,4
f0012561,f001256,狗,雌,7
f0012571,f001257,狗,雄,7
f0012581,f001258,狗,雄,4
f0012591,f001259,狗,雄,1
f0012601,f001260,猫,雄,6
f0012611,f001261,狗,雄,3
f0012621,f001262,狗,雄,2
f0012631,f001263,狗,雄,2
f0012641,f001264,狗,雌,7
f0012651,f001265,狗,雌,6
f0012661,f001266,狗,雄,8
f0012671,f001267,狗,雄,9
f0012681,f001268,猫,雄,9
f0012691,f001269,猫,雄,10
f0012701,f001270,猫,雌,7
f0012711,f001271,猫,雌,8
f0012721,f001272,狗,雌,4
f0012731,f001273,狗,雄,9
f0012741,f001274,狗,雄,5
f0012751,f001275,狗,雌,8
f0012761,f001276,猫,雄,9
f0012771,f001277,狗,雌,2
f0012781,f001278,狗,雄,4
f0012791,f001279,狗,雄,9
f0012801,f001280,狗,雄,7
f0012811,f001281,狗,雌,2
f0012821,f001282,狗,雄,9
f0012831,f001283,狗,雄,8
f0012841,f001284,狗,雄,9
f0012851,f001285,狗,雄,7
f0012861,f001286,狗,雌,6
f0012871,f001287,狗,雄,3
f0012881,f001288,狗,雄,1
f0012891,f001289,猫,雄,1
f0012901,f001290,狗,雌,9
f0012911,f001291,猫,雌,7
f0012921,f001292,狗,雄,5
f0012931,f001293,狗,雌,1
f0012941,f001294,狗,雄,7
f0012951,f001295,狗,雄,6
f0012961,f001296,狗,雄,9
f0012971,f001297,猫,雌,1
f0012981,f001298,狗,雄,7
f0012991,f001299,猫,雄,3
f0013001,f001300,狗,雄,3
f0020011,f002001,狗,雄,4
f0020021,f002002,猫,雄,2
f0020031,f002003,猫,雌,5
f0020041,f002004,狗,雌,6
f0020051,f002005,猫,雄,8
f0020061,f002006,狗,雄,5
f0020071,f002007,狗,雌,1
f0020081,f002008,狗,雄,6
f0020091,f002009,猫,雄,5
f0020101,f002010,狗,雄,7
f0020111,f002011,狗,雄,7
f0020121,f002012,猫,雄,9
f0020131,f002013,猫,雄,6
f0020141,f002014,猫,雄,9
f0020151,f002015,狗,雄,9
f0020161,f002016,狗,雌,8
f0020171,f002017,猫,雄,5
f0020181,f002018,狗,雄,6
f0020191,f002019,狗,雌,7
f0020201,f002020,狗,雌,4
f0020211,f002021,猫,雌,2
f0020221,f002022,狗,雌,4
f0020231,f002023,狗,雌,5
f0020241,f002024,狗,雌,6
f0020251,f002025,狗,雌,4
f0020261,f002026,狗,雄,4
f0020271,f002027,猫,雌,4
f0020281,f002028,狗,雌,2
f0020291,f002029,狗,雄,7
f0020301,f002030,狗,雄,4
f0020311,f002031,狗,雄,10
f0020321,f002032,狗,雌,10
f0020331,f002033,狗,雄,3
f0020341,f002034,狗,雄,10
f0020351,f002035,狗,雌,8
f0020361,f002036,狗,雄,5
f0020371,f002037,狗,雌,8
f0020381,f002038,狗,雌,8
f0020391,f002039,猫,雌,3
f0020401,f002040,狗,雄,10
f0020411,f002041,狗,雄,6
f0020421,f002042,狗,雄,2
f0020431,f002043,狗,雄,3
f0020441,f002044,猫,雄,5
f0020451,f002045,狗,雌,1
f0020461,f002046,猫,雌,4
f0020471,f002047,狗,雌,2
f0020481,f002048,狗,雄,10
f0020491,f002049,狗,雄,5
f0020501,f002050,狗,雄,10
f0020511,f002051,狗,雄,3
f0020521,f002052,猫,雄,3
f0020531,f002053,猫,雄,3
f0020541,f002054,狗,雄,9
f0020551,f002055,狗,雌,7
f0020561,f002056,狗,雄,2
f0020571,f002057,狗,雄,8
f0020581,f002058,狗,雄,6
f0020591,f002059,猫,雌,2
f0020601,f002060,狗,雌,2
f0020611,f002061,狗,雄,7
f0020621,f002062,狗,雄,5
f0020631,f002063,狗,雌,7
f0020641,f002064,狗,雄,8
f0020651,f002065,狗,雄,6
f0020661,f002066,狗,雄,9
f0020671,f002067,猫,雄,5
f0020681,f002068,狗,雌,6
f0020691,f002069,猫,雄,1
f0020701,f002070,狗,雄,6
f0020711,f002071,狗,雌,10
f0020721,f002072,狗,雌,2
f0020731,f002073,猫,雄,9
f0020741,f002074,狗,雄,4
f0020751,f002075,猫,雄,3
f0020761,f002076,狗,雄,10
f0020771,f002077,狗,雌,8
f0020781,f002078,狗,雄,9
f0020791,f002079,猫,雄,5
f0020801,f002080,狗,雄,8
f0020811,f002081,狗,雄,7
f0020821,f002082,猫,雄,2
f0020831,f002083,狗,雌,5
f0020841,f002084,狗,雌,6
f0020851,f002085,狗,雄,3
f0020861,f002086,狗,雌,8
f0020871,f002087,狗,雄,6
f0020881,f002088,狗,雄,4
f0020891,f002089,猫,雄,2
f0020901,f002090,狗,雌,1
f0020911,f002091,猫,雄,10
f0020921,f002092,狗,雌,6
f0020931,f002093,猫,雄,9
f0020941,f002094,狗,雌,3
f0020951,f002095,猫,雌,7
f0020961,f002096,猫,雌,10
f0020971,f002097,狗,雄,5
f0020981,f002098,猫,雄,4
f0020991,f002099,狗,雄,5
f0021001,f002100,狗,雌,1
f0021011,f002101,狗,雄,4
f0021021,f002102,狗,雄,9
f0021031,f002103,狗,雄,9
f0021041,f002104,狗,雌,2
f0021051,f002105,狗,雄,4
f0021061,f002106,狗,雄,8
f0021071,f002107,狗,雄,3
f0021081,f002108,猫,雌,4
f0021091,f002109,狗,雌,8
f0021101,f002110,狗,雌,6
f0021111,f002111,狗,雌,10
f0021121,f002112,狗,雄,6
f0021131,f002113,狗,雌,7
f0021141,f002114,狗,雌,4
f0021151,f002115,狗,雄,8
f0021161,f002116,猫,雄,3
f0021171,f002117,猫,雄,7
f0021181,f002118,狗,雄,1
f0021191,f002119,狗,雄,3
f0021201,f002120,狗,雌,4
f0021211,f002121,狗,雄,1
f0021221,f002122,猫,雌,7
f0021231,f002123,狗,雌,10
f0021241,f002124,狗,雄,5
f0021251,f002125,狗,雌,8
f0021261,f002126,猫,雌,4
f0021271,f002127,狗,雌,10
f0021281,f002128,狗,雌,7
f0021291,f002129,狗,雄,9
f0021301,f002130,狗,雄,9
f0021311,f002131,狗,雌,5
f0021321,f002132,狗,雌,2
f0021331,f002133,狗,雌,10
f0021341,f002134,猫,雄,3
f0021351,f002135,狗,雄,2
f0021361,f002136,狗,雌,6
f0021371,f002137,狗,雌,8
f0021381,f002138,狗,雌,2
f0021391,f002139,狗,雌,6
f0021401,f002140,猫,雌,4
f0021411,f002141,狗,雄,2
f0021421,f002142,狗,雄,6
f0021431,f002143,狗,雄,5
f0021441,f002144,狗,雌,5
f0021451,f002145,猫,雌,6
f0021461,f002146,猫,雌,1
f0021471,f002147,狗,雄,8
f0021481,f002148,狗,雌,5
f0021491,f002149,狗,雌,5
f0021501,f002150,狗,雌,5
f0021511,f002151,狗,雄,3
f0021521,f002152,狗,雌,1
f0021531,f002153,猫,雄,1
f0021541,f002154,猫,雌,6
f0021551,f002155,狗,雌,8
f0021561,f002156,狗,雌,1
f0021571,f002157,狗,雄,7
f0021581,f002158,狗,雌,9
f0021591,f002159,狗,雄,10
f0021601,f002160,狗,雄,2
f0021611,f002161,猫,雄,5
f0021621,f002162,狗,雄,6
f0021631,f002163,猫,雄,1
f0021641,f002164,狗,雄,4
f0021651,f002165,狗,雌,3
f0021661,f002166,狗,雄,8
f0021671,f002167,猫,雌,10
f0021681,f002168,狗,雄,5
f0021691,f002169,狗,雌,10
f0021701,f002170,狗,雌,4
f0021711,f002171,狗,雌,9
f0021721,f002172,狗,雌,3
f0021731,f002173,狗,雌,5
f0021741,f002174,狗,雄,2
f0021751,f002175,狗,雌,10
f0021761,f002176,狗,雄,6
f0021771,f002177,猫,雄,10
f0021781,f002178,狗,雄,3
f0021791,f002179,狗,雌,6
f0021801,f002180,狗,雌,10
f0021811,f002181,狗,雌,10
f0021821,f002182,狗,雄,6
f0021831,f002183,狗,雄,1
f0021841,f002184,狗,雄,4
f0021851,f002185,狗,雄,1
f0021861,f002186,狗,雌,8
f0021871,f002187,猫,雄,8
f0021881,f002188,狗,雄,9
f0021891,f002189,狗,雄,6
f0021901,f002190,狗,雄,5
f0021911,f002191,狗,雌,4
f0021921,f002192,猫,雌,2
f0021931,f002193,狗,雄,2
f0021941,f002194,狗,雌,6
f0021951,f002195,狗,雌,10
f0021961,f002196,狗,雌,3
f0021971,f002197,猫,雌,8
f0021981,f002198,狗,雄,2
f0021991,f002199,狗,雌,5
f0022001,f002200,狗,雌,10
f0022011,f002201,狗,雄,2
f0022021,f002202,猫,雄,4
f0022031,f002203,狗,雌,3
f0022041,f002204,猫,雌,3
f0022051,f002205,猫,雄,2
f0022061,f002206,狗,雄,9
f0022071,f002207,猫,雄,5
f0022081,f002208,狗,雌,1
f0022091,f002209,猫,雌,9
f0022101,f002210,狗,雄,6
f0022111,f002211,狗,雄,10
f0022121,f002212,狗,雌,9
f0022131,f002213,狗,雌,9
f0022141,f002214,狗,雌,6
f0022151,f002215,狗,雄,4
f0022161,f002216,狗,雌,7
f0022171,f002217,猫,雄,5
f0022181,f002218,狗,雌,8
f0022191,f002219,猫,雌,2
f0022201,f002220,狗,雄,2
f0022211,f002221,狗,雌,4
f0022221,f002222,狗,雄,10
f0022231,f002223,狗,雌,8
f0022241,f002224,狗,雌,4
f0022251,f002225,狗,雄,6
f0022261,f002226,猫,雄,4
f0022271,f002227,狗,雌,6
f0022281,f002228,狗,雌,6
f0022291,f002229,猫,雌,8
f0022301,f002230,狗,雄,2
f0022311,f002231,狗,雄,2
f0022321,f002232,猫,雌,6
f0022331,f002233,狗,雄,2
f0022341,f002234,狗,雄,6
f0022351,f002235,狗,雌,9
f0022361,f002236,狗,雌,3
f0022371,f002237,狗,雌,10
f0022381,f002238,狗,雌,8
f0022391,f002239,狗,雄,2
f0022401,f002240,狗,雄,10
f0022411,f002241,猫,雄,4
f0022421,f002242,狗,雌,6
f0022431,f002243,狗,雄,10
f0022441,f002244,狗,雌,8
f0022451,f002245,狗,雄,9
f0022461,f002246,狗,雄,10
f0022471,f002247,狗,雄,6
f0022481,f002248,狗,雄,1
f0022491,f002249,狗,雄,8
f0022501,f002250,狗,雄,1
f0022511,f002251,猫,雄,3
f0022521,f002252,狗,雄,8
f0022531,f002253,猫,雄,6
f0022541,f002254,狗,雌,4
f0022551,f002255,狗,雄,2
f0022561,f002256,猫,雄,5
f0022571,f002257,猫,雄,2
f0022581,f002258,狗,雌,4
f0022591,f002259,狗,雄,8
f0022601,f002260,狗,雌,3
f0022611,f002261,猫,雌,2
f0022621,f002262,狗,雌,1
f0022631,f002263,猫,雌,8
f0022641,f002264,狗,雄,1
f0022651,f002265,狗,雌,9
f0022661,f002266,猫,雄,7
f0022671,f002267,狗,雄,4
f0022681,f002268,狗,雄,4
f0022691,f002269,狗,雌,10
f0022701,f002270,狗,雌,1
f0022711,f002271,狗,雌,10
f0022721,f002272,猫,雄,1
f0022731,f002273,猫,雌,10
f0022741,f002274,狗,雄,4
f0022751,f002275,狗,雄,10
f0022761,f002276,狗,雌,3
f0022771,f002277,狗,雌,3
f0022781,f002278,狗,雌,9
f0022791,f002279,猫,雌,5
f0022801,f002280,狗,雌,1
